Unnamed: 0,주소,도로명,Unnamed: 3,건축년도,건축구조,전용면적,건축면적,면적,대지면적(제곱미터)
220,부산광역시 해운대구 반여동 1291-581,재반로211번길 16-46,다세대,1995,기타조적구조,44.99,95.36,449.56,109.0
221,부산광역시 해운대구 반여동 1291-655,재반로211번길 28-42,다세대,1995,기타조적구조,50.84,112.48,445.48,132.0
222,부산광역시 해운대구 반여동 1291-409,재반로212번길 21-74,다세대,1994,철근콘크리트구조,40.825,95.36,376.97,116.0
223,부산광역시 해운대구 반여동 1291-609,재반로211번길 22-66,다세대,1995,기타조적구조,38.9,87.04,344.08,106.0
224,부산광역시 해운대구 반여동 1291-570,재반로211번길 8-77,다세대,1994,기타조적구조,39.81,88.2,348.6,109.0
225,부산광역시 해운대구 반여동 1291-510,재반로212번길 7-81,다세대,1997,기타조적구조,41.07,90.72,358.56,109.0
226,부산광역시 해운대구 반여동 1291-641,재반로211번길 22-77,다세대,1996,기타조적구조,39.45,47.25,186.75,56.0
227,부산광역시 해운대구 반여동 1291-128,재반로226번길 33-2,다세대,1994,기타조적구조,38.43,89.46,353.58,112.8
228,부산광역시 해운대구 반여동 1291-128,재반로226번길 33-2,다세대,1994,기타조적구조,38.43,89.46,353.58,112.8
229,부산광역시 해운대구 반여동 1291-194,재반로226번길 13-17,다세대,1996,기타조적구조,40.03,92.61,366.03,112.0
230,부산광역시 해운대구 반여동 1291-252,재반로225번길 8-18,다세대,1994,기타조적구조,42.84,94.5,373.5,119.0
231,부산광역시 해운대구 반여동 1291-281,재반로225번길 16-30,다세대,1994,기타조적구조,42.21,43.51,169.46,64.5
232,부산광역시 해운대구 반여동 1291-361,재반로225번길 28-32,다세대,1994,기타조적구조,40.87,42.21,167.5,53.0
233,부산광역시 해운대구 반여동 1291-361,재반로225번길 28-32,다세대,1994,기타조적구조,42.21,42.21,167.5,53.0
234,부산광역시 해운대구 반여동 1291-64,재반로226번길 45-9,다세대,1994,기타조적구조,45.36,50.02,197.62,66.0
235,부산광역시 해운대구 반여동 1291-1421,재반로226번길 51,다세대,1995,기타조적구조,36.44,99.22,458.08,116.0
236,부산광역시 해운대구 반여동 1291-1421,재반로226번길 51,다세대,1995,기타조적구조,41.485,99.22,458.08,116.0
237,부산광역시 해운대구 반여동 1291-1421,재반로226번길 51,다세대,1995,기타조적구조,41.485,99.22,458.08,116.0
238,부산광역시 해운대구 반여동 1291-393,재반로225번길 36-34,다세대,1994,기타조적구조,40.282,89.15,352.34,120.0
239,부산광역시 해운대구 반여동 1291-389,재반로225번길 36-42,다세대,1994,기타조적구조,38.8,89.6,354.2,102.0
240,부산광역시 해운대구 반여동 1291-389,재반로225번길 36-42,다세대,1994,기타조적구조,38.8,89.6,354.2,102.0
241,부산광역시 해운대구 반여동 1291-343,재반로225번길 28-62,다세대,1994,기타조적구조,37.17,46.26,177.18,53.0
242,부산광역시 해운대구 반여동 1291-338,재반로225번길 22-73,다세대,1994,기타조적구조,37.44,88.2,348.6,112.0
243,부산광역시 해운대구 반여동 1612-19,재반로241번길 22-37,다세대,1996,기타조적구조,45.53,100.74,398.82,129.0
244,부산광역시 해운대구 반여동 1596-10,재반로242번길 21-66,다세대,1995,기타조적구조,45.84,102.24,404.7,119.0
245,부산광역시 해운대구 반여동 1596-8,재반로242번길 21-70,다세대,1994,기타조적구조,43.68,100.8,399.0,119.0
246,부산광역시 해운대구 반여동 1588-29,재반로256번길 57-9,다세대,1993,기타조적구조,45.335,101.47,401.71,122.0
247,부산광역시 해운대구 반여동 1591-27,재반로256번길 37-9,다세대,1995,기타조적구조,48.66,108.04,427.78,132.0
248,부산광역시 해운대구 반여동 1591-27,재반로256번길 37-9,다세대,1995,기타조적구조,50.14,108.04,427.78,132.0
249,부산광역시 해운대구 반여동 1591-19,재반로256번길 37-29,다세대,1995,기타조적구조,48.73,107.8,427.0,129.0
250,부산광역시 해운대구 반여동 1588-15,재반로256번길 57-51,다세대,1995,기타조적구조,44.14,54.1,209.59,66.0
251,부산광역시 해운대구 반여동 1441-90,선수촌로 79-1,단독주택,1972,블록구조,,42.98,42.98,142.0
252,부산광역시 해운대구 반여동 1588-6,재반로256번길 51-82,다세대,1995,기타조적구조,49.84,110.2,436.45,129.0
253,부산광역시 해운대구 반여동 1582-12,재반로270번길 51-10,다세대,1994,기타조적구조,46.39,103.66,413.22,126.0
254,부산광역시 해운대구 반여동 1583-12,,다세대,1995,기타조적구조,52.73,55.66,214.61,63.0
255,부산광역시 해운대구 반여동 1583-3,재반로270번길 51-33,다세대,1994,철근콘크리트구조,48.785,107.92,427.42,132.0
256,부산광역시 해운대구 반여동 1583-1,재반로270번길 51-37,다세대,1994,기타조적구조,49.56,109.2,537.6,129.0
257,부산광역시 해운대구 반여동 1579-12,재반로270번길 51-49,다세대,1997,철근콘크리트구조,55.31,122.05,488.2,136.0
258,부산광역시 해운대구 반여동 1578-11,재반로270번길 51-74,다세대,1994,기타조적구조,50.04,110.16,436.32,132.0
259,부산광역시 해운대구 반여동 1576-5,재반로270번길 57-108,다세대,1996,벽돌구조,46.56,56.24,222.74,63.0
260,부산광역시 해운대구 반여동 1576-5,재반로270번길 57-108,다세대,1996,벽돌구조,46.56,56.24,222.74,63.0
