,번호,주택구분,시도코드,시도이름,시군구코드,시군구이름,행정동코드,행정동이름,법정동코드,법정동이름,기준일자
623,623,공동주택(다세대/연립),3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010400,용계동,2021-10-01
624,624,공동주택(다세대/연립),3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010400,용계동,2021-10-01
625,625,공동주택(다세대/연립),3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010400,용계동,2021-10-01
626,626,공동주택(다세대/연립),3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010400,용계동,2021-10-01
627,627,공동주택(다세대/연립),3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010400,용계동,2021-10-01
628,628,공동주택(다세대/연립),3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010400,용계동,2021-10-01
629,629,공동주택(다세대/연립),3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010400,용계동,2021-10-01
630,630,공동주택(다세대/연립),3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010400,용계동,2021-10-01
631,631,공동주택(다세대/연립),3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010400,용계동,2021-10-01
632,632,단독주택(다가구),3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010400,용계동,2021-10-01
633,633,단독주택(다가구),3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010400,용계동,2021-10-01
634,634,단독주택(다가구),3000000000,대전광역시,3020000000,유성구,3020052600,학하동,3020010500,학하동,2021-10-01
635,635,단독주택(다가구),3000000000,대전광역시,3020000000,유성구,3020052600,학하동,3020010500,학하동,2021-10-01
636,636,단독주택(다가구),3000000000,대전광역시,3020000000,유성구,3020052600,학하동,3020010500,학하동,2021-10-01
637,637,단독주택(다가구),3000000000,대전광역시,3020000000,유성구,3020052600,학하동,3020010600,계산동,2021-10-01
638,638,단독주택(다가구),3000000000,대전광역시,3020000000,유성구,3020052600,학하동,3020010600,계산동,2021-10-01
639,639,단독주택(다가구),3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010700,성북동,2021-10-01
640,640,단독주택(다가구),3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010700,성북동,2021-10-01
641,641,단독주택(다가구),3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010700,성북동,2021-10-01
642,642,단독주택(다가구),3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010700,성북동,2021-10-01
643,643,단독주택(다가구),3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010700,성북동,2021-10-01
644,644,단독주택(다가구),3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010700,성북동,2021-10-01
645,645,단독주택(다가구),3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010700,성북동,2021-10-01
646,646,단독주택(다가구),3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010700,성북동,2021-10-01
647,647,그 외 주택,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010700,성북동,2021-10-01
648,648,단독주택(다가구),3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010800,세동,2021-10-01
649,649,그 외 주택,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010800,세동,2021-10-01
650,650,그 외 주택,3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010800,세동,2021-10-01
651,651,단독주택(다가구),3000000000,대전광역시,3020000000,유성구,3020052000,진잠동,3020010800,세동,2021-10-01
